"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300552","7.1.2","35505499","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300553","7.1.3","35479841","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300554","7.1.5","25658","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300555","7.1.6","123244952","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300556","7.1.7","36594499","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300557","7.1.8","77968854","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300558","7.1.9","171941","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300551","7.1.10","8509658","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300559","7.2.1","154030218","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300561","7.2.2","34576506","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300562","7.2.3","34550848","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300563","7.2.5","25658","","","","0"
