"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVEGBUS","198302","294.033","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198303","318.779","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198304","315.481","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198305","328.156","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198306","322.883","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198307","295.753","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198308","271.706","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198309","228.407","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198310","218.256","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198311","259.609","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198312","333.394","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198313","3494.005","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198401","310.459","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198402","291.272","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198403","317.741","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198404","312.886","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198405","332.133","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198406","300.39","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198407","287.043","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198408","262.43","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198409","218.311","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198410","218.055","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198411","232.386","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198412","269.703","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198413","3352.809","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198501","287.746","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198502","270.6","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198503","257.413","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198504","254.938","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198505","276.022","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198506","249.042","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198507","222.446","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198508","208.74","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198509","196.061","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198510","209.438","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198511","239.801","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198512","264.921","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198513","2937.168","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198601","223.306","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198602","242.578","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198603","297.35","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198604","287.509","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198605","284.179","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198606","273.929","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198607","251.456","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198608","221.344","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198609","220.552","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198610","222.866","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198611","241.861","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198612","271.228","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198613","3038.157","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198701","264.771","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198702","221.154","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198703","242.22","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198704","229.481","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198705","252.16","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198706","217.367","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198707","210.407","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198708","192.192","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198709","189.414","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198710","187.069","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198711","175.635","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198712","219.703","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198713","2601.572","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198801","227.466","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198802","197.245","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198803","201.463","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198804","197.229","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198805","219.265","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198806","194.431","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198807","174.513","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198808","169.801","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198809","167.973","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198810","156.018","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198811","190.645","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198812","205.58","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198813","2301.629","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198901","221.743","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198902","197.267","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198903","239.874","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198904","255.086","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198905","297.162","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198906","274.206","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198907","240.19","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198908","213.871","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198909","200.439","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198910","212.689","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198911","224.453","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198912","231.201","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198913","2808.182","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","199001","250.585","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","199002","259.764","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","199003","298.131","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","199004","273.24","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","199005","288.815","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","199006","296.931","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
